# target	var1	var2	var3	var4	correct
Pictures\O.Fa2.2211.bmp	Pictures\O.Fa2.2212.bmp	Pictures\O.Fa2.1131.bmp	Pictures\O.Fa2.2211.bmp	Pictures\O.Fa2.3221.bmp	3
Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.1231.bmp	Pictures\O.Fa1.2322.bmp	Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.2222.bmp	3
Pictures\O.Fa1.1211.bmp	Pictures\O.Fa1.3121.bmp	Pictures\O.Fa1.1213.bmp	Pictures\O.Fa1.1211.bmp	Pictures\O.Fa1.2221.bmp	3
Pictures\O.Fc4.3331.bmp	Pictures\O.Fc4.3331.bmp	Pictures\O.Fc4.3321.bmp	Pictures\O.Fc4.2211.bmp	Pictures\O.Fc4.3121.bmp	1
Pictures\O.Fc1.1222.bmp	Pictures\O.Fc1.2212.bmp	Pictures\O.Fc1.3312.bmp	Pictures\O.Fc1.1122.bmp	Pictures\O.Fc1.1222.bmp	4
Pictures\O.Fb1.2223.bmp	Pictures\O.Fb1.1113.bmp	Pictures\O.Fb1.2333.bmp	Pictures\O.Fb1.2223.bmp	Pictures\O.Fb1.2233.bmp	3
Pictures\O.Fa3.1133.bmp	Pictures\O.Fa3.2313.bmp	Pictures\O.Fa3.1213.bmp	Pictures\O.Fa3.1233.bmp	Pictures\O.Fa3.1133.bmp	4
Pictures\O.Fc1.1332.bmp	Pictures\O.Fc1.1332.bmp	Pictures\O.Fc1.2122.bmp	Pictures\O.Fc1.1322.bmp	Pictures\O.Fc1.2322.bmp	1
Pictures\O.Fc1.3221.bmp	Pictures\O.Fc1.2231.bmp	Pictures\O.Fc1.3221.bmp	Pictures\O.Fc1.2221.bmp	Pictures\O.Fc1.2111.bmp	2
Pictures\O.Fa4.2231.bmp	Pictures\O.Fa4.2232.bmp	Pictures\O.Fa4.2311.bmp	Pictures\O.Fa4.1311.bmp	Pictures\O.Fa4.2231.bmp	4
Pictures\O.Fa4.3123.bmp	Pictures\O.Fa4.3213.bmp	Pictures\O.Fa4.3122.bmp	Pictures\O.Fa4.1233.bmp	Pictures\O.Fa4.3123.bmp	4
Pictures\O.Fa2.3323.bmp	Pictures\O.Fa2.2323.bmp	Pictures\O.Fa2.2233.bmp	Pictures\O.Fa2.3323.bmp	Pictures\O.Fa2.2223.bmp	3
Pictures\O.Fc3.3322.bmp	Pictures\O.Fc3.2212.bmp	Pictures\O.Fc3.3322.bmp	Pictures\O.Fc3.2322.bmp	Pictures\O.Fc3.3232.bmp	2
