# target	var1	var2	var3	var4	correct
Pictures\O.Fb3.3211.bmp	Pictures\O.Fb3.3211.bmp	Pictures\O.Fb3.1211.bmp	Pictures\O.Fb3.2321.bmp	Pictures\O.Fb3.2311.bmp	1
Pictures\O.Fa4.1221.bmp	Pictures\O.Fa4.3131.bmp	Pictures\O.Fa4.1223.bmp	Pictures\O.Fa4.1221.bmp	Pictures\O.Fa4.3121.bmp	3
Pictures\O.Fb1.1323.bmp	Pictures\O.Fb1.2333.bmp	Pictures\O.Fb1.1333.bmp	Pictures\O.Fb1.1323.bmp	Pictures\O.Fb1.2113.bmp	3
Pictures\O.Fb3.3123.bmp	Pictures\O.Fb3.3123.bmp	Pictures\O.Fb3.3233.bmp	Pictures\O.Fb3.2333.bmp	Pictures\O.Fb3.3122.bmp	1
Pictures\O.Fc3.1211.bmp	Pictures\O.Fc3.1212.bmp	Pictures\O.Fc3.2131.bmp	Pictures\O.Fc3.1331.bmp	Pictures\O.Fc3.1211.bmp	4
Pictures\O.Fc4.1131.bmp	Pictures\O.Fc4.1111.bmp	Pictures\O.Fc4.2321.bmp	Pictures\O.Fc4.1131.bmp	Pictures\O.Fc4.1221.bmp	3
Pictures\O.Fc1.2212.bmp	Pictures\O.Fc1.2212.bmp	Pictures\O.Fc1.2312.bmp	Pictures\O.Fc1.3322.bmp	Pictures\O.Fc1.1312.bmp	1
Pictures\O.Fb3.2321.bmp	Pictures\O.Fb3.2211.bmp	Pictures\O.Fb3.2321.bmp	Pictures\O.Fb3.2221.bmp	Pictures\O.Fb3.1231.bmp	2
Pictures\O.Fc2.1233.bmp	Pictures\O.Fc2.1233.bmp	Pictures\O.Fc2.2213.bmp	Pictures\O.Fc2.1333.bmp	Pictures\O.Fc2.2323.bmp	1
Pictures\O.Fb4.3213.bmp	Pictures\O.Fb4.3323.bmp	Pictures\O.Fb4.3213.bmp	Pictures\O.Fb4.1213.bmp	Pictures\O.Fb4.2333.bmp	2
Pictures\O.Fc4.3113.bmp	Pictures\O.Fc4.1233.bmp	Pictures\O.Fc4.2123.bmp	Pictures\O.Fc4.3123.bmp	Pictures\O.Fc4.3113.bmp	4
Pictures\O.Fa4.1231.bmp	Pictures\O.Fa4.3311.bmp	Pictures\O.Fa4.1231.bmp	Pictures\O.Fa4.1233.bmp	Pictures\O.Fa4.3221.bmp	2
Pictures\O.Fa3.3133.bmp	Pictures\O.Fa3.3131.bmp	Pictures\O.Fa3.1223.bmp	Pictures\O.Fa3.3133.bmp	Pictures\O.Fa3.1233.bmp	3
Pictures\O.Fb2.2321.bmp	Pictures\O.Fb2.3331.bmp	Pictures\O.Fb2.3321.bmp	Pictures\O.Fb2.2321.bmp	Pictures\O.Fb2.3131.bmp	3
Pictures\O.Fa2.3323.bmp	Pictures\O.Fa2.3323.bmp	Pictures\O.Fa2.3233.bmp	Pictures\O.Fa2.2233.bmp	Pictures\O.Fa2.3322.bmp	1
Pictures\O.Fb1.3211.bmp	Pictures\O.Fb1.3211.bmp	Pictures\O.Fb1.3111.bmp	Pictures\O.Fb1.2121.bmp	Pictures\O.Fb1.2221.bmp	1
Pictures\O.Fb1.3111.bmp	Pictures\O.Fb1.1121.bmp	Pictures\O.Fb1.3111.bmp	Pictures\O.Fb1.1111.bmp	Pictures\O.Fb1.1231.bmp	2
Pictures\O.Fc1.1113.bmp	Pictures\O.Fc1.3323.bmp	Pictures\O.Fc1.1112.bmp	Pictures\O.Fc1.2313.bmp	Pictures\O.Fc1.1113.bmp	4
Pictures\O.Fb3.3322.bmp	Pictures\O.Fb3.3222.bmp	Pictures\O.Fb3.2122.bmp	Pictures\O.Fb3.3322.bmp	Pictures\O.Fb3.2232.bmp	3
Pictures\O.Fa1.3331.bmp	Pictures\O.Fa1.3231.bmp	Pictures\O.Fa1.2221.bmp	Pictures\O.Fa1.3331.bmp	Pictures\O.Fa1.3221.bmp	3
Pictures\O.Fb1.1333.bmp	Pictures\O.Fb1.1332.bmp	Pictures\O.Fb1.2223.bmp	Pictures\O.Fb1.1333.bmp	Pictures\O.Fb1.3133.bmp	3
